current_time,current_day_of_week,average_gas,average_light,average_loudness,average_temperature,average_humidity,average_object,average_ambient,average_distance,ocupada
0.8251748251748252,0.16666666666666666,0.5352727272727273,0.4509257415886919,0.17872340425531916,0.759375,0.7989473684210527,0.810615772416277,0.7561166125326787,0.5344036945056269,0
0.8741258741258742,0.16666666666666666,0.593974025974026,0.41051164642643834,0.17446808510638295,0.78125,0.7935222672064778,0.8136298163485781,0.7685193694050546,0.5325669374468459,1
0.8811188811188811,0.16666666666666666,0.6127792207792208,0.3939876567788174,0.17446808510638295,0.78125,0.8278195488721805,0.8119553474973001,0.7732322832219847,0.5317311358104343,1
0.9440559440559441,0.16666666666666666,0.7437922077922078,0.4075253832371093,0.17446808510638295,0.78125,0.7744360902255639,0.8168707238026657,0.7675259447041122,0.5327282324994868,1
0.972027972027972,0.16666666666666666,0.6243116883116883,0.003981684252438781,0.17872340425531916,0.8375,0.7936842105263159,0.8392870003601012,0.8341088137174651,0.5306167336285521,0
0.0,0.3333333333333333,0.6171428571428571,0.0061716105912801,0.1702127659574468,0.84375,0.7894736842105263,0.8567879006121716,0.858994604205727,0.529956890231385,0
0.006993006993006993,0.3333333333333333,0.6131948051948053,0.005773442166036215,0.16170212765957445,0.84375,0.8,0.8554801660254346,0.8565475718925775,0.5295756473796885,0
0.06293706293706294,0.3333333333333333,0.5846233766233767,0.005773442166036215,0.1702127659574468,0.865625,0.8168421052631578,0.8604609290601373,0.8661526138354154,0.5293703627672365,0
0.42657342657342656,0.3333333333333333,0.48457142857142854,0.04937288473024088,0.1702127659574468,0.8020833333333334,0.5426900584795322,0.8338206697875414,0.8085272914521113,0.5347810786240065,0
0.45454545454545453,0.3333333333333333,0.47314285714285714,0.10790364324109095,0.1702127659574468,0.75,0.5719298245614035,0.7981274756931951,0.7628297552087462,0.53388662424118,0
0.46853146853146854,0.3333333333333333,0.6895584415584416,0.8106709137965359,0.24680851063829787,0.7908653846153846,0.7295546558704453,0.810298883687433,0.7942714797503679,0.5340625824804246,1
0.48951048951048953,0.3333333333333333,0.6006233766233766,0.048377463667131186,0.1702127659574468,0.7897727272727275,0.6363636363636364,0.8213431760893052,0.8143975283213184,0.5324642951406199,0
0.5174825174825175,0.3333333333333333,0.5941818181818181,0.13378459088194303,0.1702127659574468,0.84375,0.6586466165413534,0.8446164926179334,0.8451803145932916,0.5312912402123229,0
0.5314685314685315,0.3333333333333333,0.5932467532467532,0.34003583515827185,0.1702127659574468,0.84375,0.6736842105263158,0.8494094346417,0.8525390160817556,0.5317311358104343,0
0.5664335664335665,0.3333333333333333,0.5836883116883116,0.32769261397571164,0.17446808510638295,0.846875,0.7063157894736841,0.8555347497299246,0.8639182444743728,0.5319364204228862,0
0.5874125874125874,0.3333333333333333,0.5822337662337662,0.6293051960979494,0.22127659574468087,0.8461538461538463,0.6923076923076924,0.8508525916668437,0.8403381316085019,0.5310712924132672,1
