current_time,current_day_of_week,average_gas,average_light,average_loudness,average_temperature,average_humidity,average_object,average_ambient,average_distance,ocupada
0.8251748251748252,0.16666666666666666,0.5352727272727273,0.4509257415886919,0.17872340425531916,0.759375,0.7989473684210527,0.810615772416277,0.7561166125326787,0.5344036945056269,0
0.8741258741258742,0.16666666666666666,0.593974025974026,0.41051164642643834,0.17446808510638295,0.78125,0.7935222672064778,0.8136298163485781,0.7685193694050546,0.5325669374468459,1
0.8811188811188811,0.16666666666666666,0.6127792207792208,0.3939876567788174,0.17446808510638295,0.78125,0.8278195488721805,0.8119553474973001,0.7732322832219847,0.5317311358104343,1
0.0,0.3333333333333333,0.6171428571428571,0.0061716105912801,0.1702127659574468,0.84375,0.7894736842105263,0.8567879006121716,0.858994604205727,0.529956890231385,0
0.006993006993006993,0.3333333333333333,0.6131948051948053,0.005773442166036215,0.16170212765957445,0.84375,0.8,0.8554801660254346,0.8565475718925775,0.5295756473796885,0
0.46853146853146854,0.3333333333333333,0.6895584415584416,0.8106709137965359,0.24680851063829787,0.7908653846153846,0.7295546558704453,0.810298883687433,0.7942714797503679,0.5340625824804246,1
0.48951048951048953,0.3333333333333333,0.6006233766233766,0.048377463667131186,0.1702127659574468,0.7897727272727275,0.6363636363636364,0.8213431760893052,0.8143975283213184,0.5324642951406199,0
0.5174825174825175,0.3333333333333333,0.5941818181818181,0.13378459088194303,0.1702127659574468,0.84375,0.6586466165413534,0.8446164926179334,0.8451803145932916,0.5312912402123229,0
0.5664335664335665,0.3333333333333333,0.5836883116883116,0.32769261397571164,0.17446808510638295,0.846875,0.7063157894736841,0.8555347497299246,0.8639182444743728,0.5319364204228862,0
0.6503496503496503,0.3333333333333333,0.5256103896103896,0.36512044594863624,0.1702127659574468,0.8125,0.6363636363636364,0.815196254951387,0.8075840397158628,0.5322443473415642,0
0.7202797202797203,0.3333333333333333,0.5367272727272727,0.6494127015727653,0.17872340425531916,0.8671875,0.6815789473684211,0.8579402232625138,0.8667212407686146,0.530483221455792,0
0.8461538461538461,0.3333333333333333,0.5340259740259741,0.3286880350388214,0.1702127659574468,0.7784090909090909,0.6947368421052632,0.80812027367663,0.7934754020438881,0.5324496319540162,0
0.9090909090909091,0.3333333333333333,0.5474285714285714,0.006370694803902027,0.1702127659574468,0.84375,0.7355263157894737,0.8545192653943107,0.8582252854137514,0.5299422270447813,0
0.993006993006993,0.3333333333333333,0.5453506493506494,0.0061716105912801,0.1574468085106383,0.84375,0.7578947368421053,0.860525747209219,0.8629549235522462,0.5290323377286879,0
0.03496503496503497,0.5,0.5425454545454546,0.005375273740792332,0.16170212765957445,0.84375,0.7692307692307693,0.8629513105774883,0.8655153291610558,0.5298102583653479,0
0.055944055944055944,0.5,0.5407792207792208,0.006967947441767867,0.1574468085106383,0.84375,0.7789473684210526,0.8644644029740097,0.8664752948632515,0.5296343001261034,0
