timestamp,average_gas,average_light,average_loudness,average_temperature,average_humidity,average_object,average_ambient,average_distance,ocupada
2025-12-17 11:50:00,284.9,58.85,2.0,26.0,60.54545454545455,25.63555555555558,27.544444444444487,7.483671451437062,0
2025-12-17 12:00:00,284.9,59.65,1.8,26.0,61.833333333333336,25.74000000000002,27.810000000000013,7.468645888534518,0
2025-12-17 12:10:00,284.5,67.0,2.0,26.27272727272728,62.0,25.928888888888903,28.05222222222225,7.482643785147832,0
2025-12-17 12:20:00,285.95,82.3,2.0,27.0,62.57142857142857,26.06111111111113,28.0755555555556,7.447086531540443,0
2025-12-17 12:30:00,285.15,140.15,2.0,27.0,62.91666666666666,26.084000000000024,28.196000000000023,7.471544989224138,0
2025-12-17 12:40:00,285.5,134.1,2.0,27.0,64.0,26.20900000000002,28.320000000000025,7.453252529275828,0
2025-12-17 12:50:00,285.65,130.0,2.0,27.0,64.6923076923077,26.257000000000016,28.37800000000001,7.433932403038288,0
2025-12-17 13:00:00,283.1,131.75,2.05,27.0,64.91666666666667,26.246666666666687,28.49111111111113,7.441385688020183,0
2025-12-17 13:10:00,281.4,129.9,2.0,27.0,65.0909090909091,26.3777777777778,28.472222222222253,7.433521336522595,0
2025-12-17 13:20:00,280.55,129.6,2.0,27.07692307692308,66.0,26.36684210526317,28.5847368421053,7.434960069327519,0
2025-12-17 13:30:00,280.9,131.0,2.05,27.1,67.1,26.398000000000017,28.698000000000043,7.456129994885675,0
2025-12-17 13:40:00,281.05,130.95,2.0,27.428571428571427,67.21428571428571,26.472222222222243,28.77777777777781,7.425711072724441,0
2025-12-17 13:50:00,281.15,131.9,2.05,27.75,68.41666666666667,26.53333333333336,28.87777777777781,7.425592079785688,0
2025-12-17 14:00:00,280.2,206.75,2.6,27.07692307692308,65.76923076923077,26.25352941176473,27.91470588235297,7.444003532672751,1
2025-12-17 14:10:00,275.4,225.3,2.6,26.07692307692308,65.84615384615384,25.82333333333336,27.126666666666704,7.462090459363214,1
2025-12-17 14:20:00,268.85,238.8,2.8,25.125,63.375,25.52600000000002,26.85500000000002,7.4707228561927534,1
2025-12-17 14:30:00,265.15,233.25,2.65,25.0,62.9,25.23400000000003,26.20300000000004,7.4746279880918305,1
2025-12-17 14:40:00,262.7,175.35,2.1,25.0,61.125,25.17900000000004,26.31900000000001,7.468256457098599,1
2025-12-17 14:50:00,260.3,176.05,2.25,24.166666666666668,61.91666666666666,24.96222222222225,25.7655555555556,7.480382919311523,1
2025-12-17 15:00:00,256.5,231.2,2.8,24.1,61.7,24.807777777777808,25.564444444444483,7.49292044804014,1
2025-12-17 15:10:00,255.1,242.7,2.7,24.0,61.07692307692308,24.74333333333337,25.735555555555592,7.491070648719525,1
2025-12-17 15:20:00,253.7,239.45,2.8,24.0,59.21428571428572,24.69000000000004,25.560000000000027,7.483876984694908,1
2025-12-17 15:30:00,252.95,140.4,2.0,26.0,60.45454545454545,25.153333333333364,26.826666666666696,7.460446193300444,0
2025-12-17 15:40:00,253.05,143.85,2.1,26.0,60.0,25.54888888888892,27.597777777777804,7.449552930634598,0
2025-12-17 15:50:00,253.05,135.5,2.05,26.923076923076923,60.0,25.826000000000025,27.940000000000023,7.4425876368964765,0
2025-12-17 16:00:00,253.35,131.55,2.35,27.0,60.90909090909091,25.970000000000017,28.131000000000043,7.444003532672751,0
2025-12-17 16:10:00,253.35,69.9,1.95,24.0,54.888888888888886,26.10500000000002,28.261000000000045,7.439687334257981,0
2025-12-17 16:20:00,254.25,147.6,2.05,27.0,61.9,26.211111111111133,28.424444444444465,7.441537133578596,0
2025-12-17 16:30:00,254.45,143.85,2.05,27.0,62.0,26.27470588235297,28.478235294117667,7.428383005076441,0
2025-12-17 16:40:00,255.15,137.15,2.1,27.0,62.90909090909091,26.39210526315791,28.59210526315793,7.431260470686288,0
2025-12-17 16:50:00,256.0,135.05,2.0,27.0,62.90909090909091,26.43300000000001,28.677000000000028,7.43434346955398,0
2025-12-17 17:00:00,257.25,126.0,2.0,27.0,63.0,26.42157894736844,28.76263157894741,7.447497598056135,0
2025-12-17 17:10:00,258.3,211.8,2.1,27.75,64.75,26.472222222222243,28.79111111111113,7.43576056727913,0
2025-12-17 17:20:00,251.6,209.9,2.55,26.0,64.0,25.93500000000002,27.363000000000017,7.454691262080751,0
2025-12-17 17:30:00,247.2,186.2,2.1,25.444444444444443,63.11111111111112,25.471111111111128,26.478888888888907,7.457363194432752,0
2025-12-17 17:40:00,242.45,184.55,2.05,25.1,62.2,25.15900000000003,25.984000000000016,7.471544989224138,0
2025-12-17 17:50:00,240.0,182.85,2.2,25.0,62.0,24.95666666666669,25.61111111111114,7.475244587865369,1
2025-12-17 18:00:00,243.0,192.6,2.3,24.08333333333333,64.5,24.72368421052636,25.21000000000004,7.477299920443831,1
2025-12-17 18:10:00,249.05,185.9,2.1,24.0,64.07692307692308,24.767894736842138,25.501578947368444,7.4805884525693696,1
2025-12-17 18:20:00,251.85,170.05,2.25,24.0,63.36363636363637,24.65000000000004,25.4226315789474,7.482643785147832,1
2025-12-17 18:30:00,252.95,167.7,2.15,24.0,64.0,24.52222222222226,25.31888888888891,7.475039054607523,1
2025-12-17 18:40:00,255.2,170.0,2.0,24.0,64.0,24.50700000000004,25.10800000000004,7.479766319537985,1
2025-12-17 18:50:00,255.65,175.6,2.3,24.0,65.1,24.48000000000004,24.88500000000003,7.486548917046909,1
2025-12-17 19:00:00,260.0,169.5,2.2,24.0,64.0,24.409000000000034,24.981000000000023,7.482643785147832,1
2025-12-17 19:10:00,259.45,163.9,2.1,24.0,64.7,24.467000000000034,25.16700000000004,7.482925041184884,1
2025-12-17 19:20:00,259.0,158.55,2.05,24.0,65.07142857142857,24.46300000000004,24.966000000000022,7.486959983562601,1
2025-12-17 19:30:00,257.75,150.5,2.1,24.0,66.0,24.39400000000004,25.000000000000032,7.4824382518899855,1
2025-12-17 19:40:00,256.3,161.85,2.0,24.0,65.78571428571429,24.40800000000004,25.095000000000034,7.485726784015524,1
2025-12-17 19:50:00,256.15,146.5,2.05,24.0,72.36363636363636,24.52368421052636,25.259473684210555,7.462804416995732,1
2025-12-17 20:00:00,252.9,133.15,2.0,24.0,65.72727272727273,24.64222222222226,25.78000000000003,7.4816161188586,0
2025-12-17 20:10:00,257.0,131.25,2.0,24.90909090909091,66.0,24.935000000000027,26.35800000000002,7.463323658910291,0
2025-12-17 20:20:00,261.2,125.35,2.0,25.923076923076923,66.07692307692308,25.27888888888892,26.804444444444457,7.446469931766905,0
2025-12-17 20:30:00,263.0,129.4,2.0,26.5,66.9,25.55600000000002,27.14300000000004,7.468213186939052,0
2025-12-17 20:40:00,264.9,132.7,2.0,27.0,67.1,25.63300000000003,27.40200000000004,7.442153733352135,0
2025-12-17 20:50:00,267.4,125.2,2.0,27.0,71.5,25.9158823529412,28.0523529411765,7.428588538334288,0
2025-12-17 21:00:00,262.25,50.55,1.95,27.0,70.22222222222223,26.103000000000023,28.434000000000022,7.432493670233365,0
2025-12-17 21:10:00,262.55,50.25,1.9,27.0,70.0,26.24333333333336,28.544444444444466,7.42899960484998,0
2025-12-17 21:20:00,263.0,50.0,1.95,27.0,69.0909090909091,26.24578947368423,28.597368421052657,7.430027271139211,0
2025-12-17 21:30:00,263.25,50.0,1.85,27.0,69.08333333333333,26.36111111111113,28.58444444444448,7.435371135843211,0
2025-12-17 21:40:00,263.45,50.3,2.0,27.0,69.875,26.366666666666685,28.50888888888893,7.428177471818596,0
2025-12-17 21:50:00,265.2,49.8,1.8,27.0,70.0,26.45666666666669,28.61555555555558,7.43167153720198,0
2025-12-17 22:00:00,265.6,50.25,1.9,27.0,70.0,26.43400000000001,28.636000000000024,7.42899960484998,0
2025-12-17 22:10:00,264.65,50.25,2.0,27.0,70.0,26.40700000000001,28.66800000000003,7.428588538334288,0
2025-12-17 22:20:00,264.4,50.4,1.95,27.0,70.36363636363636,26.49200000000002,28.71600000000003,7.425094472950902,0
2025-12-17 22:30:00,264.35,50.15,2.05,27.0,70.83333333333333,26.484000000000016,28.73300000000004,7.433315803264749,0
2025-12-17 22:40:00,264.6,49.95,1.95,27.0,71.0,26.50500000000002,28.693000000000044,7.417489742410594,0
2025-12-17 22:50:00,264.6,50.05,1.95,27.0,71.0,26.517000000000017,28.67700000000003,7.425300006208749,0
2025-12-17 23:00:00,263.95,49.8,1.8,27.0,71.0,26.496000000000016,28.73000000000003,7.43167153720198,0
2025-12-17 23:10:00,263.7,50.15,1.9,27.0,71.0909090909091,26.53000000000002,28.75300000000005,7.433932403038288,0
2025-12-17 23:20:00,263.0,50.15,1.95,27.0,71.91666666666667,26.576666666666693,28.772222222222258,7.407418612776132,0
2025-12-17 23:30:00,263.0,50.0,1.95,27.0,72.0,26.52800000000002,28.74300000000004,7.428794071592134,0
2025-12-17 23:40:00,262.45,50.25,1.85,27.0,72.0,26.552000000000024,28.666000000000032,7.415423592292246,0
2025-12-17 23:50:00,262.85,49.95,1.95,27.0,72.0,26.5677777777778,28.76666666666671,7.429821737881364,0
2025-12-18 00:00:00,262.95,50.3,2.0,27.0,72.0,26.63666666666669,28.80333333333335,7.424888939693056,0
2025-12-18 00:10:00,263.0,50.3,1.9,27.0,72.3,26.63300000000002,28.730000000000032,7.427149805529364,0
2025-12-18 00:20:00,263.05,50.1,2.0,27.0,72.75,26.632222222222243,28.74888888888893,7.427766405302902,0
